2020-08-07 17:32:02.794 [main] INFO  com.epoch.EpochConsoleApiApplication - Starting EpochConsoleApiApplication on LAPTOP-MKD5QAGB with PID 21192 (D:\北大青鸟\我辈\epoch\epoch-console-api\target\classes started by 86181 in D:\北大青鸟\我辈\epoch)
2020-08-07 17:32:02.797 [main] INFO  com.epoch.EpochConsoleApiApplication - The following profiles are active: dev
2020-08-07 17:32:04.215 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-08-07 17:32:04.220 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-08-07 17:32:04.307 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53ms. Found 0 Redis repository interfaces.
2020-08-07 17:32:04.693 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfiguration' of type [com.epoch.core.configuration.RedisConfiguration$$EnhancerBySpringCGLIB$$e705d7c5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-08-07 17:32:05.064 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2020-08-07 17:32:05.076 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2020-08-07 17:32:05.076 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-08-07 17:32:05.077 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-08-07 17:32:05.278 [main] INFO  o.a.c.c.C.[.[localhost].[/epoch-console-api] - Initializing Spring embedded WebApplicationContext
2020-08-07 17:32:05.279 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2429 ms
2020-08-07 17:32:07.616 [main] INFO  com.epoch.util.ConfigUtil - load custom config file is completed：config.properties
2020-08-07 17:32:07.621 [main] INFO  com.epoch.core.configuration.WebMvcConfiguration - register WebMvcConfiguration addInterceptors TokenInterceptor is completed
2020-08-07 17:32:08.030 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8100"]
2020-08-07 17:32:08.053 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8100 (http) with context path '/epoch-console-api'
2020-08-07 17:32:08.062 [main] INFO  com.epoch.EpochConsoleApiApplication - Started EpochConsoleApiApplication in 6.387 seconds (JVM running for 7.799)
